Link,Speakers,City,Category,Trim
https://www.youtube.com/watch?v=__posHkHSMg,1,Bistrita-Nasaud,Studio,0:09-1:33
https://www.youtube.com/watch?v=__posHkHSMg,1,Bistrita-Nasaud,Studio,1:36-3:00
https://www.youtube.com/watch?v=__posHkHSMg,1,Bistrita-Nasaud,Studio,3:05-4:19
https://www.youtube.com/watch?v=QgPGP6Dubx4,1,Bistrita-Nasaud,Studio,0:15-3:10
https://www.youtube.com/watch?v=QgPGP6Dubx4,1,Bistrita-Nasaud,Studio,3:13-5:47
https://www.youtube.com/watch?v=6A8Qqv4MGig,1,Brasov,Studio,0:28-2:10
https://www.youtube.com/watch?v=jN_QE8TPt3c,1,Brasov,Studio,
https://www.youtube.com/watch?v=gBVOVfvNExQ,1,Brasov,Studio,0:00-7:00
https://www.youtube.com/watch?v=cnFQyYqUD2Y,1,Brasov,Studio,0:00-7:00
https://www.youtube.com/watch?v=WSJHhbvI_2U,1,Brasov,Studio,0:00-6:38
https://www.youtube.com/watch?v=pspeRvvIt68,1,Cluj-Napoca,Studio,0:00-1:23
https://www.youtube.com/watch?v=pspeRvvIt68,1,Cluj-Napoca,Studio,1:24:7:41
https://www.youtube.com/watch?v=DLyupW8QYTY,1,Cluj-Napoca,Studio,10:10-18:31
https://www.youtube.com/watch?v=hOmpijRJvs8,1,Cluj-Napoca,Studio,0:00-7:30
https://www.youtube.com/watch?v=1EOVZvcZ9UQ,1,Cluj-Napoca,Studio,0:00-2:05
https://www.youtube.com/watch?v=1EOVZvcZ9UQ,1,Cluj-Napoca,Studio,7:56-14:12
https://www.youtube.com/watch?v=X4yGHCCGRcI,1,Cluj-Napoca,Studio,0:00-8:45
https://www.youtube.com/watch?v=y5U9XOuMfV8,1,Cluj-Napoca,Studio,8:11-14:34
https://www.youtube.com/watch?v=WxF_L02k6EU,1,Cluj-Napoca,Studio,1:06-6:34
https://www.youtube.com/watch?v=y5P5Na8A6Kk,,Oradea,Studio,0:00-5:30
https://www.youtube.com/watch?v=QIfESVsMWRU,1,Oradea,Studio,
https://www.youtube.com/watch?v=G-crNne-4dQ,1,Oradea,Studio,9:05-17:28
https://www.youtube.com/watch?v=3JkvwteBNE0,1,Oradea,Studio,
https://www.youtube.com/watch?v=cIJWiUwZew0,1,Oradea,Studio,11:19-13:18
https://www.youtube.com/watch?v=qXUBLyIbftg,1,Sibiu,Studio,0:00-5:00
https://www.youtube.com/watch?v=lKEtqFKS7zg,1,Targu-Mures,Studio,5:55-8:31
https://www.youtube.com/watch?v=vCZ2f6cmAFo,1,Targu-Mures,Studio,7:36-13:47
https://www.youtube.com/watch?v=Stt078BrPfg,1,Targu-Mures,Studio,19:30-22:54
https://www.youtube.com/watch?v=KSj3S2OT5-U,1,Targu-Mures,Studio,0:35-9:08
https://www.youtube.com/watch?v=35aFpC6zxgI,1,Targu-Mures,Studio,1:30-10:16
https://www.youtube.com/watch?v=NXK1QUgf7Hg,1,Targu-Mures,Studio,1:08-5:37
https://www.youtube.com/watch?v=W39xQ5g1dMA,1,Timisoara,Studio,
https://www.youtube.com/watch?v=eVSom3Pn7Po,1,Timisoara,Studio,0:31-4:45
https://www.youtube.com/watch?v=lTV3VxVqQnI,1,Timisoara,Studio,0:00-9:04
https://www.youtube.com/watch?v=LMLurQdho7s,1,Timisoara,Studio,
https://www.youtube.com/watch?v=a0SVxd7zYCs,1,Timisoara,Studio,
https://www.youtube.com/watch?v=7kE3U7jLFJA,1,Timisoara,Studio,
https://www.youtube.com/watch?v=aL8v6JMj6vM,1,Timisoara,Studio,0:00-9:56
https://www.youtube.com/watch?v=COtnnOZ5qOI,1,Timisoara,Studio,0:00-14:25
https://www.youtube.com/watch?v=COtnnOZ5qOI,1,Timisoara,Studio,15:02-23:07
https://www.youtube.com/watch?v=COtnnOZ5qOI,1,Timisoara,Studio,30:29-38:00
https://www.youtube.com/watch?v=gQfjEnGDxVs,1,Timisoara,Studio,4:13-11:05
https://www.youtube.com/watch?v=xYWz57s51bU,1,Timisoara,Studio,2:46-6:01
https://www.youtube.com/watch?v=XLzbMoA4b5E,1,Zalau,Studio,1:23-4:42
